product_id,line_id,inspections,defect_rate,avg_temperature
PRD-020,Line Gamma,16840,8.076009501187649,58.65193586698337
PRD-014,Line Gamma,16280,7.371007371007371,59.228432432432434
PRD-017,Line Gamma,17120,7.242990654205607,58.938943925233644
PRD-010,Line Gamma,17640,6.575963718820861,59.0741179138322
PRD-016,Line Gamma,16840,6.413301662707839,57.26700475059382
PRD-018,Line Alpha,15160,6.33245382585752,58.678443271767804
PRD-003,Line Gamma,17720,6.320541760722348,58.64951015801354
PRD-013,Line Gamma,15840,6.313131313131313,57.281270202020195
PRD-008,Line Gamma,16920,5.91016548463357,57.97075177304964
PRD-001,Line Gamma,15880,5.793450881612091,58.88237531486146
PRD-007,Line Gamma,15880,5.793450881612091,59.05223173803526
PRD-007,Line Beta,14360,5.571030640668524,58.26850417827298
PRD-011,Line Gamma,14560,5.4945054945054945,57.95014835164835
PRD-012,Line Gamma,16760,5.4892601431980905,57.93904534606205
PRD-002,Line Gamma,16960,5.4245283018867925,59.22131603773585
PRD-009,Line Alpha,17120,5.373831775700935,58.117731308411216
PRD-006,Line Gamma,16560,5.314009661835748,58.92569806763285
PRD-019,Line Gamma,18080,5.3097345132743365,58.59275442477876
PRD-009,Line Gamma,15160,5.277044854881266,56.82915303430079
PRD-016,Line Alpha,18480,5.194805194805195,58.49168831168831
PRD-002,Line Alpha,17840,5.15695067264574,59.4130201793722
PRD-015,Line Gamma,15520,5.154639175257731,58.24303350515464
PRD-004,Line Gamma,16400,5.121951219512195,59.42063170731707
PRD-018,Line Gamma,15760,5.0761421319796955,58.398700507614215
PRD-005,Line Gamma,16800,5.0,58.28702380952381
PRD-006,Line Alpha,16960,4.952830188679245,58.940068396226415
PRD-003,Line Beta,18040,4.878048780487805,57.287254988913524
PRD-011,Line Beta,16160,4.702970297029703,56.29472524752475
PRD-018,Line Beta,16320,4.6568627450980395,59.37472549019608
PRD-002,Line Beta,14760,4.607046070460704,59.828436314363145
PRD-009,Line Beta,16920,4.491725768321513,58.17327186761229
PRD-015,Line Beta,16200,4.444444444444445,59.424439506172845
PRD-010,Line Alpha,18560,4.310344827586207,58.723243534482755
PRD-019,Line Alpha,16000,4.25,58.2685425
PRD-017,Line Alpha,16360,4.156479217603912,60.18831540342298
PRD-019,Line Beta,16600,4.096385542168675,57.64112771084337
PRD-014,Line Beta,17640,4.081632653061225,60.58178004535148
PRD-016,Line Beta,17800,4.044943820224719,59.740137078651685
PRD-004,Line Alpha,17360,3.9170506912442393,59.08168202764977
PRD-014,Line Alpha,16960,3.7735849056603774,58.21574056603773
PRD-013,Line Beta,18040,3.7694013303769403,58.756219512195116
PRD-011,Line Alpha,16160,3.7128712871287126,58.26923514851485
PRD-003,Line Alpha,16480,3.640776699029126,58.24360922330097
PRD-006,Line Beta,17600,3.6363636363636362,58.543561363636364
PRD-012,Line Beta,18040,3.5476718403547673,58.79142128603104
PRD-020,Line Alpha,16080,3.482587064676617,60.17871641791045
PRD-005,Line Beta,16240,3.4482758620689653,61.75375369458128
PRD-008,Line Beta,15440,3.3678756476683938,60.05634455958549
PRD-015,Line Alpha,16720,3.349282296650718,59.19206698564593
PRD-004,Line Beta,16880,3.3175355450236967,58.274383886255926
PRD-017,Line Beta,15800,3.2911392405063293,59.34050379746835
PRD-001,Line Beta,17440,3.211009174311927,59.94637844036697
PRD-012,Line Alpha,16280,3.194103194103194,57.5627542997543
PRD-010,Line Beta,17720,3.160270880361174,57.78043792325057
PRD-013,Line Alpha,17040,3.051643192488263,58.37533333333334
PRD-005,Line Alpha,17280,3.009259259259259,58.33654398148148
PRD-008,Line Alpha,16400,2.9268292682926833,58.20698292682927
PRD-007,Line Alpha,16760,2.863961813842482,57.21280906921241
PRD-001,Line Alpha,16040,2.2443890274314215,59.99993516209476
PRD-020,Line Beta,16440,1.9464720194647203,58.37462773722628
